0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:39:39 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:43:58 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:43:58 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:43:58 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:44 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:44 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:44 +0900] "GET /a_mybatis_board07/resources/js/main.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:44 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:49 +0900] "GET /a_mybatis_board07/board/list/notice?page=2 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:51 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:51 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:52 +0900] "GET /a_mybatis_board07/board/list/notice?page=2 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:52 +0900] "GET /a_mybatis_board07/board/list/notice?page=3 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:53 +0900] "GET /a_mybatis_board07/board/list/notice?page=4 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:53 +0900] "GET /a_mybatis_board07/board/list/notice?page=6 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:53 +0900] "GET /a_mybatis_board07/board/list/notice?page=8 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:56 +0900] "GET /a_mybatis_board07/board/list/notice?page=10 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:56 +0900] "GET /a_mybatis_board07/board/list/notice?page=9 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:57 +0900] "GET /a_mybatis_board07/board/list/notice?page=4 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:57 +0900] "GET /a_mybatis_board07/board/list/notice?page=3 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:58 +0900] "GET /a_mybatis_board07/board/list/notice?page=7 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:58 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
